AOA	CL	CD	CM	
0.812236          0.184248          0.0113508         -0.157717      
0.915761          0.193498          0.0124751         -0.157471      
1.01824           0.202462          0.0135932         -0.157205      
1.11982           0.211065          0.0147058         -0.156929      
1.22045           0.220317          0.0158118         -0.156641      
1.32005           0.228683          0.0169101         -0.156338      
1.41871           0.237645          0.018001          -0.156026      
1.51629           0.246113          0.0190823         -0.155696      
1.61289           0.254576          0.0201549         -0.155358      
1.7084            0.263192          0.0212191         -0.154988      
1.80287           0.271147          0.0222749         -0.15459       
1.89628           0.279703          0.0233195         -0.15418       
1.98855           0.287512          0.0243515         -0.153756      
2.07978           0.295738          0.0253715         -0.153322      
2.16983           0.303644          0.0263775         -0.152873      
2.25879           0.311397          0.0273701         -0.152415      
2.34658           0.319407          0.0283478         -0.151943      
2.43333           0.326811          0.0293123         -0.151465      
2.51868           0.334985          0.0302574         -0.150963      
2.60288           0.341312          0.0311869         -0.150451      
2.68605           0.349984          0.0321025         -0.149938      
2.76782           0.356561          0.0329974         -0.149401      
2.84856           0.363984          0.0338781         -0.148862      
2.92788           0.371434          0.0347372         -0.148294      
3.00606           0.377571          0.0355794         -0.147721      
3.08295           0.385588          0.0364018         -0.147135      
3.1585            0.39125           0.0372029         -0.146534      
3.2329            0.39885           0.0379866         -0.14593       
3.30582           0.404979          0.0387459         -0.145304      
3.37761           0.411432          0.0394876         -0.144678      
3.44794           0.418362          0.0402049         -0.144034      
3.517             0.423768          0.0409015         -0.143382      
3.58474           0.430986          0.0415762         -0.142721      
3.65103           0.436125          0.042226          -0.142043      
3.7161            0.442749          0.042856          -0.141364      
3.77963           0.448397          0.0434588         -0.140665      
3.84192           0.453917          0.0440411         -0.139965      
3.90272           0.460187          0.044597          -0.139246      
3.96215           0.464831          0.0451289         -0.138516      
4.0202            0.471134          0.0456375         -0.13778       
4.07673           0.475685          0.0461185         -0.137027      
4.13197           0.481278          0.0465779         -0.136273      
4.18562           0.486327          0.0470085         -0.135501      
4.23794           0.490895          0.0474164         -0.134726      
4.28873           0.496418          0.0477971         -0.133939      
4.33806           0.500299          0.0481518         -0.133141      
4.38599           0.505696          0.0484823         -0.13234       
4.43231           0.509608          0.0487836         -0.131522      
4.47729           0.514209          0.0490622         -0.130703      
4.52064           0.518607          0.0493113         -0.129869      
4.56258           0.522257          0.0495361         -0.129031      
4.60298           0.526961          0.0497338         -0.128183      
4.64183           0.530108          0.0499039         -0.127325      
4.67924           0.534505          0.05005           -0.126464      
4.71501           0.537775          0.0501662         -0.125588      
4.74937           0.541352          0.0502593         -0.124711      
4.78209           0.545005          0.0503231         -0.123817      
4.81332           0.547718          0.0503618         -0.122918      
4.843             0.551496          0.0503744         -0.122011      
4.87108           0.55386           0.0503591         -0.121094      
4.89768           0.557201          0.0503204         -0.120175      
4.92262           0.559746          0.0502527         -0.119243      
4.94609           0.562272          0.0501619         -0.11831       
4.96792           0.565137          0.0500436         -0.117367      
4.98819           0.566966          0.0499003         -0.116418      
5.00692           0.569808          0.0497326         -0.115465      
5.024             0.571418          0.0495378         -0.114501      
5.03959           0.573729          0.0493209         -0.113537      
5.05349           0.575536          0.0490765         -0.112562      
5.06589           0.577076          0.0488101         -0.111585      
5.07665           0.579096          0.0485184         -0.1106        
5.08583           0.580065          0.0482029         -0.10961       
5.09345           0.581929          0.0478652         -0.108618      
5.0994            0.582773          0.0475023         -0.107615      
5.10385           0.584056          0.0471192         -0.106613      
5.10662           0.585082          0.0467113         -0.105602      
5.10786           0.585657          0.0462831         -0.10459       
5.10747           0.586789          0.0458326         -0.103571      
5.10547           0.586909          0.0453604         -0.102548      
5.10193           0.587778          0.044869          -0.101524      
5.09672           0.58784           0.044355          -0.100491      
5.09              0.588109          0.0438235         -0.0994593     
5.08162           0.588318          0.0432706         -0.0984203     
5.07168           0.587954          0.0426999         -0.0973801     
5.06016           0.588168          0.0421107         -0.0963365     
5.04701           0.58745           0.0415026         -0.0952882     
5.03234           0.58732           0.0408788         -0.0942402     
5.01602           0.586586          0.0402359         -0.0931856     
4.99818           0.585861          0.0395787         -0.0921322     
4.97871           0.585226          0.0389043         -0.0910738     
4.9577            0.583948          0.0382152         -0.0900143     
4.93512           0.583227          0.0375117         -0.0889534     
4.91094           0.581679          0.0367929         -0.0878884     
4.88525           0.580559          0.0360624         -0.086825      
4.85794           0.579016          0.035317          -0.0857566     
4.82913           0.577324          0.034561          -0.0846898     
4.79873           0.575826          0.0337922         -0.08362       
4.7668            0.573661          0.0330125         -0.0825494     
4.73335           0.571998          0.0322231         -0.081479      
4.69832           0.569632          0.0314225         -0.0804057     
4.66181           0.567539          0.0306143         -0.0793349     
4.62372           0.565181          0.029796          -0.0782607     
4.58416           0.562553          0.0289711         -0.0771884     
4.54306           0.560184          0.0281384         -0.0761151     
4.50046           0.557159          0.0272989         -0.0750415     
4.45638           0.554563          0.0264544         -0.0739698     
4.41076           0.55139           0.0256034         -0.072896      
4.36371           0.548349          0.0247493         -0.0718255     
4.31514           0.545176          0.0238902         -0.0707535     
4.26512           0.541649          0.0230286         -0.0696838     
4.21363           0.53841           0.0221644         -0.0686149     
4.16067           0.534557          0.021298          -0.0675463     
4.1063            0.531045          0.0204314         -0.0664809     
4.05045           0.527082          0.0195632         -0.0654148     
3.9932            0.523129          0.0186965         -0.0643528     
3.93451           0.519149          0.0178299         -0.0632908     
3.87442           0.514763          0.0169654         -0.0622318     
3.81292           0.510671          0.0161035         -0.0611752     
3.75002           0.506021          0.015244          -0.0601198     
3.68576           0.501625          0.0143891         -0.0590689     
3.62009           0.496891          0.0135378         -0.0580185     
3.5531            0.492071          0.0126925         -0.056973      
3.48473           0.487301          0.0118524         -0.0559293     
3.41502           0.482104          0.011019          -0.0548891     
3.34399           0.477176          0.0101931         -0.053853      
3.27162           0.471776          0.00937446        -0.0528191     
3.19797           0.466525          0.00856513        -0.0517906     
3.123             0.461052          0.0077643         -0.0507644     
3.04677           0.455425          0.00697401        -0.0497439     
2.96924           0.44988           0.00619354        -0.0487259     
2.89046           0.443888          0.00542455        -0.0477131     
2.81045           0.438237          0.00466761        -0.0467054     
2.72917           0.43203           0.00392247        -0.0457009     
2.64671           0.426064          0.00319132        -0.0447036     
2.56299           0.419833          0.00247291        -0.043709      
2.47812           0.413441          0.00176952        -0.0427215     
2.39205           0.4072            0.0010806         -0.0417383     
2.3048            0.400473          0.000407141       -0.0407607     
2.21642           0.394075          -0.000249882      -0.0397897     
2.12687           0.387204          -0.000890949      -0.0388229     
2.03623           0.380475          -0.00151409       -0.0378641     
1.94444           0.373589          -0.00212021       -0.0369097     
1.85158           0.366467          -0.00270601       -0.0359608     
1.75763           0.359504          -0.00327097       -0.035015      
1.66261           0.352088          -0.0038166        -0.0340753     
1.56655           0.344939          -0.00434188       -0.0331435     
1.46943           0.337417          -0.00484728       -0.0322169     
1.37131           0.329948          -0.00533118       -0.0312991     
1.27217           0.322412          -0.0057942        -0.0303869     
1.17205           0.314611          -0.00623513       -0.0294829     
1.07096           0.307009          -0.00665385       -0.0285863     
0.968894          0.298994          -0.00705013       -0.0276965     
0.865913          0.29119           -0.00742296       -0.0268158     
0.761979          0.283106          -0.00777285       -0.0259414     
0.657164          0.274995          -0.00809849       -0.0250764     
0.551438          0.2669            -0.0084003        -0.0242186     
0.444847          0.258506          -0.00867749       -0.0233695     
0.337402          0.250324          -0.00892981       -0.0225291     
0.229102          0.241771          -0.00915728       -0.0216963     
0.120003          0.233377          -0.00935899       -0.0208737     
0.0100737         0.224787          -0.00953542       -0.0200584     
-0.100622         0.216086          -0.00968247       -0.0192493     
-0.212102         0.20745           -0.00980258       -0.0184475     
-0.324329         0.198506          -0.00989616       -0.017655      
-0.437281         0.189777          -0.00996292       -0.0168725     
-0.550969         0.180719          -0.0100031        -0.0160981     
-0.665331         0.171767          -0.0100159        -0.0153347     
-0.780395         0.162709          -0.0100019        -0.0145796     
-0.896104         0.153495          -0.00996032       -0.0138352     
-1.01246          0.14442           -0.00989146       -0.0131003     
-1.12945          0.135025          -0.00979515       -0.0123752     
-1.24703          0.125835          -0.00967113       -0.0116611     
-1.36521          0.116379          -0.00951971       -0.0109559     
-1.48394          0.106974          -0.00934043       -0.0102625     
-1.60324          0.0975367         -0.00913366       -0.00957846    
-1.72306          0.087904          -0.00889916       -0.00890554    
-1.84339          0.0784092         -0.00863079       -0.00823493    
-1.96422          0.0686065         -0.00833368       -0.00757298    
-2.0855           0.0589785         -0.00800878       -0.00692282    
-2.20726          0.049157          -0.0076564        -0.00628232    
-2.32943          0.0393301         -0.0072764        -0.00565409    
-2.45203          0.029539          -0.0068691        -0.00503597    
-2.57502          0.0195203         -0.00643452       -0.00442948    
-2.69838          0.00971291        -0.00597282       -0.00383449    
-2.82211          -0.000394458      -0.00548426       -0.00325006    
-2.94616          -0.0103292        -0.00496891       -0.00267825    
-3.07054          -0.0204145        -0.00442709       -0.00211666    
-3.1952           -0.0305387        -0.00385894       -0.0015679     
-3.32016          -0.04057          -0.00326477       -0.00103013    
-3.44536          -0.0509047        -0.00263147       -0.000482676   
-3.5708           -0.0610412        -0.00196572       6.3429e-05     
-3.69646          -0.0714433        -0.0012745        0.000598735    
-3.82231          -0.0817056        -0.000558128      0.00112097     
-3.94835          -0.0920544        0.000183091       0.0016325      
-4.07454          -0.102482         0.000948755       0.00213112     
-4.20087          -0.112775         0.00173853        0.002618       
-4.32732          -0.123302         0.00255202        0.0030929      
-4.45386          -0.133627         0.00338879        0.00355491     
-4.58049          -0.144149         0.0042485         0.00400562     
-4.70716          -0.154586         0.00513058        0.0044429      
-4.83389          -0.165037         0.00603474        0.00486867     
-4.96062          -0.175606         0.00696345        0.00528651     
-5.08735          -0.186032         0.00791717        0.00569845     
-5.21407          -0.196664         0.00889155        0.0060982      
-5.34073          -0.207119         0.00988595        0.00648457     
-5.46735          -0.21771          0.0109            0.0068592      
-5.59387          -0.228256         0.0119331         0.00722017     
-5.72031          -0.238764         0.0129847         0.00756906     
-5.84661          -0.249388         0.0140541         0.00790478     
-5.97277          -0.259848         0.0151409         0.0082275      
-6.09879          -0.270478         0.0162446         0.0085378      
-6.2246           -0.28096          0.0173642         0.00883435     
