edge,flap,tors
0.006189513349843128,0.43495024751979094,0.002650556057010164
0.006514100487805167,0.43853365355819424,0.00262141300905925
0.006837256692573342,0.4417776470148462,0.002593109334669392
0.00715709551892016,0.4446670056883672,0.002565775036257279
0.007471642081395478,0.4471878391014023,0.0025395392642063113
0.007778853834203685,0.44932784355737937,0.002514530350727951
0.008076607143785948,0.4510757881647228,0.002490875628017539
0.00836278745474152,0.45242277212878473,0.0024687012352728353
0.008635309765163223,0.45336219945825873,0.002448132180127709
0.008892159987261249,0.45388987553094245,0.0024292923466030327
0.009131538932392644,0.4540055128050702,0.0024123046148472136
0.009351809041209833,0.4537114454948654,0.0023972903341887013
0.00955141183394669,0.45301115788514407,0.0023843682678185455
0.009729045687603206,0.4519110623173082,0.002373654213980778
0.009883796870339225,0.4504215312963899,0.00236526124400316
0.010015004165464901,0.4485549070436803,0.0023592995683631387
0.0101221630622883,0.4463242076181519,0.0023558759370670163
0.01020492607809846,0.4437430194853197,0.0023550936168747097
0.010263102270640126,0.4408254175959587,0.0023570528076586185
0.01029665528597428,0.4375858880630692,0.0023618510563809996
0.010305684033458504,0.43403909942045205,0.0023695826083229535
0.010290398233044729,0.4301996546772065,0.0023803375090835333
0.010251129513283155,0.42608220328747476,0.0023942030805596762
0.010188346059231579,0.42170158261403384,0.0024112656525348583
0.01010264616761881,0.4170727602052256,0.002431610853632503
0.00999475066666124,0.412210774680649,0.0024553237517782323
0.009865494503334122,0.40713067971725825,0.002482488936883571
0.009715817616550127,0.40184749136213044,0.0025131905463449877
0.009546755217052807,0.39637613875926087,0.0025475122315397206
0.009359427595863336,0.3907314183392598,0.002585537064114054
0.009155025238003846,0.384927909511729,0.0026273471825058376
0.008934776150259992,0.3789797263922567,0.002673022544942079
0.008699942152513343,0.3729005513127436,0.0027226408938599523
0.008451832782904074,0.36670384082214624,0.002776278620242315
0.00819179520275453,0.36040280022157295,0.0028340104844075905
0.007921203935304998,0.35401035583229445,0.0028959091663872025
0.007641450758727367,0.34753912994930075,0.002962044764879491
0.007353934840333587,0.34100141851633314,0.0030324842526539752
0.00706005319148491,0.33440917143163973,0.0031072908928217883
0.006761191515366248,0.32777397538105996,0.0031865236207093803
0.006458715511977727,0.32110703908721244,0.0032702363964580675
0.006153962696599259,0.3144191808577284,0.0033584775338086005
0.005848234779727486,0.30772081831141324,0.003451289010814148
0.005542790648188687,0.3010219601587588,0.0035487057684535487
0.005238839978900298,0.29433219991222764,0.0036507550032891943
0.004937537508690437,0.28766071140199206,0.0037574554604289504
0.004639977975775221,0.2810162459742004,0.0038688167331100685
0.00434719174101805,0.274407131251185,0.003984838575224445
0.004060141090019912,0.267841271336182,0.004105510233051287
0.003779717210472801,0.2613261483489477,0.0042308098023553665
0.0035067378330949353,0.2548688251830104,0.004360703616849795
0.0032419455188926775,0.24847594938004972,0.004495145673813646
0.00298600657048621,0.24215375802194902,0.0046340771023992
0.0027395105408093484,0.23590808354631024,0.004777425679865263
0.002502970308657124,0.22974436039656188,0.004925105400634272
0.0022768226873066074,0.22366763242315754,0.0050770161026961625
0.0020614295297692073,0.21768256095766902,0.0052330431554750145
0.0018570792921318868,0.2117934334867878,0.00539305721283897
0.0016639890148901037,0.20600417285828349,0.005556914034474442
0.0014823066811412064,0.20031834695581555,0.005724454378366312
0.0013121139099643599,0.19473917878409958,0.005895503966630526
0.0011534289432288075,0.18926955691028272,0.006069873526438927
0.0010062098844103326,0.1839120462114602,0.006247358907262221
0.0008703581487191255,0.17866889888205953,0.006427741275140018
0.0007457220849116874,0.1735420656583245,0.006610787384170066
0.0006321007305348888,0.16853320722034731,0.006796249924897496
0.0005292476639926233,0.16364370573503093,0.006983867948780873
0.0004368749186947652,0.1588746765060253,0.0071733673674204785
0.00035465692660569746,0.15422697969907437,0.007364461524756756
0.0002822344607182388,0.1497012321133609,0.007556851839988889
0.00021921854830235645,0.14529781897135047,0.0077502285185246395
0.00016519432918237514,0.1410169057013384,0.007944271327858698
0.00011972483574969184,0.13685844968840297,0.008138650434887634
8.23544608253863e-05,0.13282219959852493,0.0083330271221143
5.261140314589832e-05,0.12890761143310545,0.008527053300688724
3.001305108824305e-05,0.12511387732729468,0.008720372588562588
1.4071441952008166e-05,0.12144003746264857,0.00891262288646806
4.296168780029614e-06,0.11788499367061572,0.009103437646880824
1.970722670784985e-07,0.1144475203592751,0.009292447018505137
1.2867469275058961e-06,0.11112627513514745,0.009479279011908244
7.082860481874066e-06,0.1079198091706172,0.009663560686447477
1.7110286633065065e-05,0.10482657730788064,0.009844919352910637
3.0903052874205704e-05,0.10184494788925967,0.010022983786067368
4.80061062937722e-05,0.09897321230418318,0.010197385441315978
6.797690151354601e-05,0.09620959424362983,0.010367759669634954
9.038681591517819e-05,0.09355225865332187,0.010533746925107142
0.00011482239818453887,0.09099932037745836,0.01069499395937392
0.00014088645693492263,0.08854885248528917,0.010851154997497362
0.00016819899676606884,0.08619889427335758,0.011001892889856502
0.00019639800958280672,0.0839474589367887,0.01114688023488028
