aero_drag,aero_lift,aero_mom,damp_edge,damp_flap,damp_tors
2.1957988398345057e-06,0.004710760244657668,5.848881820243988e-05,-2.563371129291078e-06,-0.000560327729226355,-1.7105204789021512e-05
2.376587556690279e-06,0.004827630098617415,5.736593626787353e-05,-3.0899368050978393e-06,-0.0005706018264392358,-1.6565930431597506e-05
2.509791873432489e-06,0.004935587393064575,5.582901779791137e-05,-3.6910484936260865e-06,-0.0005807152883269364,-1.6007680889124957e-05
2.6457017794465767e-06,0.0050452810641983085,5.4243943706705075e-05,-4.3743787598656276e-06,-0.0005906627483866198,-1.543153032952763e-05
2.7869325246256712e-06,0.005157315509715794,5.259957005243888e-05,-5.14766688184671e-06,-0.0006003113190415507,-1.482882929094794e-05
2.9329369360212093e-06,0.005271734733833209,5.0900450653009935e-05,-6.019727192142652e-06,-0.0006096642116827712,-1.4202456583357811e-05
3.0499168332364914e-06,0.005387532179954739,4.928682679730582e-05,-7.000736425211551e-06,-0.0006187365907515299,-1.3555405958703553e-05
3.131671558005074e-06,0.005504523536947216,4.777511478315731e-05,-8.101813299936503e-06,-0.0006275440662902356,-1.2890777692094139e-05
3.2122976071062425e-06,0.005623775743068364,4.622686453059234e-05,-9.336080027430612e-06,-0.0006360884122673809,-1.2215777950080051e-05
3.2907094718960108e-06,0.005745299088591336,4.464942853512419e-05,-1.0717999420422144e-05,-0.0006443685714977756,-1.1537775180017888e-05
3.3686562815743956e-06,0.0058671449705563665,4.312765167585632e-05,-1.2261982945389406e-05,-0.0006523976073710927,-1.0859503540905489e-05
3.4464078567101586e-06,0.005988251885996128,4.169825622263878e-05,-1.3983472153933587e-05,-0.0006601885319305219,-1.0183600433497388e-05
3.5190710486821096e-06,0.006107569002272476,4.0218829299759e-05,-1.589789376387782e-05,-0.0006677298314969159,-9.51505848763766e-06
3.58600492103001e-06,0.006224940551399023,3.869675236222329e-05,-1.8020757972587856e-05,-0.0006749969405180029,-8.859625977541316e-06
3.6569383554745773e-06,0.006338727522666608,3.712412307790985e-05,-2.0367910804494068e-05,-0.0006819533883536894,-8.21837404390848e-06
3.7265908960744593e-06,0.006451451153785606,3.552175885962249e-05,-2.2955760966647832e-05,-0.0006885626971616819,-7.59232793827037e-06
3.7902859973644993e-06,0.00655554266042255,3.3923343710399755e-05,-2.579976001447861e-05,-0.000694771122439349,-6.982227788645277e-06
4.220266409101207e-06,0.006654538519736765,3.231927290303699e-05,-2.8917876849692184e-05,-0.0007005585006195435,-6.389384925099387e-06
5.972685069276538e-06,0.006735831238496147,3.071920842292165e-05,-3.232392417661556e-05,-0.0007058153049368867,-5.816014539726316e-06
7.731826007224809e-06,0.0068110638630224565,2.913082946181307e-05,-3.600149937734825e-05,-0.0007104944954585034,-5.263870859312102e-06
9.553413115589529e-06,0.006880040052094803,2.7552716916748758e-05,-3.982718376970125e-05,-0.0007144454380220715,-4.734771593483816e-06
1.1459662763298906e-05,0.006931690785427941,2.605540220807684e-05,-4.378882269788056e-05,-0.0007176171184352743,-4.230529808389353e-06
1.349648403747874e-05,0.006978294830366027,2.4617751321891296e-05,-4.7876350255899764e-05,-0.0007199674649110074,-3.7526599543764734e-06
1.5711625896103825e-05,0.0070203087207348445,2.3202018792015838e-05,-5.206855430136688e-05,-0.0007213274445315499,-3.3043896873127623e-06
1.812718373754388e-05,0.007059007719313648,2.1744180873925535e-05,-5.635435289053305e-05,-0.0007216863059864712,-2.8878382871994193e-06
2.078684185015182e-05,0.007090652056419195,2.0038525840769982e-05,-6.0724718352109774e-05,-0.0007210487863040903,-2.5034937834753704e-06
2.37022705766955e-05,0.007100834012052244,1.824120386936483e-05,-6.517410669620199e-05,-0.0007194383690988078,-2.149683527077234e-06
2.6898002924180753e-05,0.00708312293579503,1.64395162551059e-05,-6.969126068873534e-05,-0.0007168378157566115,-1.8191053210759725e-06
3.0457365558370883e-05,0.007046732544990954,1.4700733840916788e-05,-7.424503825787795e-05,-0.0007130633088720795,-1.5098888427874545e-06
3.4499772335214456e-05,0.0070131633387516545,1.3069528463718933e-05,-7.879214417247641e-05,-0.0007078679958486345,-1.223539044531198e-06
3.9102420495109414e-05,0.006989394010939445,1.154165187684273e-05,-8.329955477657273e-05,-0.0007011367766059259,-9.635366476167376e-07
3.6705896780715004e-05,0.006976731319963775,1.0019860032705154e-05,-8.776951193489799e-05,-0.0006930272136964735,-7.339974400194299e-07
3.44787734732803e-05,0.00695878069974477,8.509123773364058e-06,-9.222223774357701e-05,-0.000683782088648075,-5.378186515603147e-07
3.238412388692556e-05,0.006935399835755964,7.010488453209862e-06,-9.660937734673641e-05,-0.000673581706811851,-3.7423555421087675e-07
3.039834966230573e-05,0.006905813600307545,5.524370806621971e-06,-0.00010091822434706214,-0.0006624717736234051,-2.4210009741544553e-07
2.850109954116584e-05,0.00687107421831532,4.053222974856874e-06,-0.00010513602121325174,-0.0006504934344497791,-1.4013088564637972e-07
2.667436881013805e-05,0.006829184222746631,2.596300375943374e-06,-0.00010924858001761031,-0.0006376805579235214,-6.694470649111621e-08
2.4895917892536133e-05,0.006774853638075959,1.1547136571777673e-06,-0.00011324436184173835,-0.0006240810608427377,-2.1122317034836676e-08
2.3158675844198352e-05,0.006714676918181913,-2.6506366225161533e-07,-0.00011710791341435225,-0.0006097218189363628,-1.1641338833893377e-09
2.1462310933704245e-05,0.006644944369853115,-1.6580708429386702e-06,-0.00012081146979441959,-0.0005945720562347978,-5.663724240244614e-09
1.979370768703478e-05,0.006568264141236142,-3.020429467177244e-06,-0.00012434233967427167,-0.0005786818618578401,-3.339426393669135e-08
1.8148445792158128e-05,0.006498257324551257,-4.349758408031356e-06,-0.00012768092897216362,-0.0005620638944314997,-8.353884426924961e-08
1.6511042949401338e-05,0.0064269724966865465,-5.646721910757885e-06,-0.00013081345175464289,-0.0005447639349827195,-1.55467378561296e-07
1.4826953637417579e-05,0.006370829023742503,-6.982004104605541e-06,-0.00013376636650821585,-0.0005269817711037746,-2.488282951807205e-07
1.3057089246064119e-05,0.006308984684299868,-8.320224029813897e-06,-0.00013654610347030668,-0.0005088218210081212,-3.6329966905002904e-07
1.1108597816200368e-05,0.006234488711724609,-9.671852260078958e-06,-0.0001392076776269024,-0.0004905597985893899,-4.958155287772847e-07
8.956944362009233e-06,0.006142359727037279,-1.0942109726416014e-05,-0.00014174476838813292,-0.00047222610907659933,-6.440842209734629e-07
6.607374753273172e-06,0.00603720665975348,-1.2138777825290411e-05,-0.00014412258507171276,-0.00045376589557517485,-8.048751007006456e-07
4.082159853537395e-06,0.005912976095625423,-1.3265073471250603e-05,-0.00014628965295993075,-0.00043507543595910203,-9.78025334764496e-07
1.382738444115556e-06,0.005783401492401066,-1.4546392361763742e-05,-0.00014820804354985796,-0.0004161150037891259,-1.1632638060402234e-06
-1.4760062472120956e-06,0.005645316176973469,-1.5965025954772735e-05,-0.00014981741212006697,-0.00039679375776596623,-1.3606011122478301e-06
-4.5408945571103875e-06,0.005493908872464123,-1.7481257147580726e-05,-0.00015110767082641649,-0.0003771825131101707,-1.5625870620917266e-06
-7.85591561002245e-06,0.005336728420643325,-1.8973900332109152e-05,-0.00015206017769797393,-0.000357325201832511,-1.7616871702384402e-06
-1.1447670831384678e-05,0.005158353811695903,-2.019560221858101e-05,-0.00015263627185320842,-0.00033721710734013283,-1.9507265744209075e-06
-1.537322067105305e-05,0.004966589844232238,-2.1237669433561556e-05,-0.00015282589681237432,-0.00031694022568654447,-2.1258869514831764e-06
-1.9631231612514096e-05,0.004759752724590646,-2.229301096742547e-05,-0.0001525498817953966,-0.0002964222852379416,-2.2912469814972836e-06
-2.4257944185311555e-05,0.004527452054834083,-2.3456622873427804e-05,-0.00015176075784712725,-0.0002756854714519761,-2.4486360713368547e-06
-2.9318815424389218e-05,0.004282164121190696,-2.4757997470144642e-05,-0.00015040543061673717,-0.0002547509121981916,-2.594508102679471e-06
-3.483426993814939e-05,0.004000156022153976,-2.6986729294010126e-05,-0.00014837516036533707,-0.00023355179588142533,-2.7223981102420893e-06
-4.0895870010593184e-05,0.0037203160626420513,-2.8883596158915204e-05,-0.00014562244412685412,-0.00021217187417487345,-2.824511687166569e-06
-4.744513122583615e-05,0.0034676664357960736,-2.9601294545366877e-05,-0.00014196696634200556,-0.00019048897161767124,-2.8677312821345625e-06
-5.488562297566998e-05,0.003208802988209581,-3.014027892902082e-05,-0.00013746484620265513,-0.000168788800069803,-2.8564343133374073e-06
-6.357992573701176e-05,0.0029477594542788,-3.055597180222023e-05,-0.00013239262312140165,-0.0001475762125791678,-2.819609941518983e-06
-7.375339523246402e-05,0.0026877032459068197,-3.0838860629856204e-05,-0.00012675230112729063,-0.0001270188781903099,-2.7576600677488965e-06
-8.559730064626898e-05,0.0024281383180022945,-3.09813182564104e-05,-0.00012055351620747743,-0.00010730295214447313,-2.671192092795642e-06
-9.93507275816946e-05,0.0021701761158990003,-3.097024159625491e-05,-0.00011382614389470971,-8.863831703134374e-05,-2.561167479525358e-06
-0.00011541995112327472,0.001922199897578546,-3.079085816716812e-05,-0.0001066030197776671,-7.121955989134106e-05,-2.4288245888928127e-06
-0.00013399701949173067,0.0016789476508705806,-3.0427625611373394e-05,-9.892558230517715e-05,-5.5241412701766284e-05,-2.2758236046172316e-06
-0.00015537495605165864,0.001441921554103018,-2.986135444824498e-05,-9.089746234080081e-05,-4.095384138649278e-05,-2.1042749417617316e-06
-0.00018008548946369881,0.0012196849753371847,-2.9074971587132593e-05,-8.258956460929655e-05,-2.8537281456174662e-05,-1.9167483028202437e-06
-0.00020821203032657975,0.0010032626657788604,-2.805126312738858e-05,-7.408465611480516e-05,-1.816296282340284e-05,-1.7163627267347116e-06
-0.00024025804320948493,0.000800259096613614,-2.6771919618816422e-05,-6.555675235282211e-05,-1.0030046497137211e-05,-1.5067113964427337e-06
-0.00027657116151371677,0.0006085567902750074,-2.522027451987921e-05,-5.709134815443326e-05,-4.240043213473081e-06,-1.2918550611942064e-06
-0.00031703282267817517,0.00042187437316538366,-2.3373223429151795e-05,-4.887090062252813e-05,-8.961848331770533e-07,-1.0763340474116753e-06
-0.0003616886980678385,0.00024119639880723154,-2.1213317678110012e-05,-4.1073486270354005e-05,-2.5915474957436525e-08,-8.651044706740331e-07
-0.000411115668596986,6.743637637094161e-05,-1.872954950663557e-05,-3.3767531081989404e-05,-1.593107503073475e-06,-6.63685439211357e-07
-0.0004652224872337368,-0.0001036764931025316,-1.5914849843557286e-05,-2.701996617598384e-05,-5.547618002307519e-06,-4.779755278490824e-07
-0.0005234127807814291,-0.0002721526948006123,-1.2761224509467607e-05,-2.098658829774499e-05,-1.1759204522892846e-05,-3.1408093808242004e-07
-0.0005853393563179633,-0.0004372340606176322,-9.265836569251622e-06,-1.57443205194012e-05,-2.003762316871741e-05,-1.7820747264127397e-07
-0.0006507375487376506,-0.0005987312273822436,-5.431860765688685e-06,-1.128948582124936e-05,-3.020535522807422e-05,-7.66480863974431e-08
-0.0007193103262454842,-0.000756478766329441,-1.2652995006130226e-06,-7.610332378682476e-06,-4.2084774261571394e-05,-1.561562542710308e-08
-0.0007907287754274407,-0.0009103246207821849,3.2257554431502814e-06,-4.688539237832271e-06,-5.549878621603023e-05,-1.09587986417526e-09
-0.0008645868265870732,-0.001059067827869572,8.028973553025396e-06,-2.499781786675851e-06,-7.027194324356105e-05,-3.877407229815144e-08
-0.0009404905330188388,-0.001202016016167642,1.312577401526872e-05,-1.0143273501950087e-06,-8.623148175914102e-05,-1.3396722872177e-07
-0.0010181548825418658,-0.0013404702113854233,1.8499715719411617e-05,-1.9669991936547955e-07,-0.00010322513746898743,-2.914298698877749e-07
-0.0010972409002965508,-0.0014744734837012711,2.4133730428993993e-05,-1.2132901309338892e-08,-0.00012111381629141931,-5.152198901620053e-07
-0.0011773507924710263,-0.0016039813273277595,3.0011499685710585e-05,-4.262175893360682e-07,-0.0001397440993636288,-8.089300902809054e-07
-0.0012580791167967015,-0.0017289567844301962,3.611537923938145e-05,-1.4010517016748784e-06,-0.0001589665215137218,-1.1756044971872224e-06
