damp_x,damp_y,damp_tors,stiff_x,stiff_y,stiff_tors,damp_edge,stiff_edge,damp_flap,stiff_flap
0.0435678208586718,-0.0645812912213302,-0.004457265443697,0.0649883070811949,-0.6471302484033566,-0.0786733709924061,0.03835747068239352,0.013927873772455746,-0.06780562390419323,-0.6502361515542243
0.0446375875090794,-0.0641625447142801,-0.0039554299786087,0.0678848280915584,-0.6573487255160297,-0.0789324224295826,0.039439358498678335,0.015841199373337868,-0.06748246708631393,-0.6606547912677113
0.0456623560044396,-0.0636796047776035,-0.0034522866961357,0.070836249654426,-0.6675071655184817,-0.0791605276389665,0.0404837136086766,0.01782937129232752,-0.06709107059034469,-0.6710184079464155
0.0466503390975205,-0.0631425997328361,-0.0029551362666907,0.0738396574939027,-0.6775961206955653,-0.0793578308864747,0.041497920106500955,0.019891134902665322,-0.06664206378684012,-0.6813172099343887
0.047593746948822,-0.0625599505792818,-0.002465086167155,0.0768922232716678,-0.6876075563535934,-0.0795247353494106,0.04247350914826508,0.022025020250821696,-0.0661431265192607,-0.691542814319671
0.0484925979669026,-0.0619328727746027,-0.0019827002627183,0.0799909499088349,-0.6975341361875845,-0.0796616956705769,0.0434103515075695,0.024229273636858617,-0.06559538222835529,-0.7016875127243662
0.0493467952075788,-0.0612622781620984,-0.0015084347038182,0.0831328515659231,-0.7073686778591567,-0.079769197902033,0.04430821668852981,0.026502089529898853,-0.0649996527433134,-0.7117437436860562
0.0501558379444142,-0.0605486542752875,-0.0010425999576297,0.0863149377432233,-0.71710409602324,-0.0798477517022315,0.04516649633014882,0.028841601388871853,-0.0643563145597484,-0.7217040356269667
0.0509197635570567,-0.0597930622537679,-0.0005856394990548,0.0895342184913164,-0.7267334151965942,-0.0798978899457014,0.045985064142784304,0.03124588319037406,-0.06366636859577854,-0.731561021260571
0.0516376536657018,-0.0589954798570883,-0.0001374868136642,0.0927876919388234,-0.7362497298730627,-0.0799201571146843,0.04676292020046851,0.0337129460297371,-0.06292966878978223,-0.741307397631703
0.0523058935122186,-0.0581529593919209,0.0003032568587039,0.0960722299260706,-0.7456458833291143,-0.079915052571342,0.04749660700413164,0.03624069032161779,-0.06214294413081043,-0.7509355958094113
0.0529241974694639,-0.0572662908394627,0.0007363690383714,0.099384598831519,-0.754914533041305,-0.0798830394567285,0.04818568305555196,0.038826915303828445,-0.06130692206241177,-0.7604378484332975
0.0534907021454297,-0.0563342855207632,0.0011646724792069,0.1027215144008651,-0.7640482930884773,-0.0798245008418685,0.04882829043508838,0.041469396310526,-0.060420236629233785,-0.7698063346464897
0.054004734590856,-0.0553572609129084,0.0015888365426906,0.1060796294998885,-0.7730396967741964,-0.0797397122653666,0.04942363742477773,0.04416589916086492,-0.05948312162044562,-0.779033140459947
0.0544736959446456,-0.0543433449104226,0.002010062049539,0.1094558224675592,-0.7818819481948591,-0.0796288916774612,0.04997835614147163,0.046914371777532174,-0.05850424431884474,-0.7881110325999489
0.0549005060629938,-0.0532961032331524,0.002428801839632,0.1128473075993207,-0.7905691859399848,-0.0794922061073558,0.050494974585239084,0.049713029463277034,-0.057487370155954384,-0.7970337303350526
0.0552975739360649,-0.0522284077290349,0.0028373939889485,0.1162517904271643,-0.7990968674697183,-0.0793300445729884,0.05098472678446774,0.05256026081250002,-0.0564463098159486,-0.805796315057819
0.0556646813118727,-0.0511406844997976,0.0032339322098734,0.1196673718073624,-0.80746151744405,-0.0791430907254497,0.051447232949962104,0.05545448323334383,-0.05538148227027263,-0.8143949793052829
0.0559960791251304,-0.0500286683886364,0.0036151292435578,0.123091989333272,-0.8156593433438624,-0.0789321881402786,0.051876960650824935,0.058393794250656925,-0.05428820766760284,-0.8228255993922253
0.0562829073477891,-0.0488849084376958,0.0039850578883171,0.1265231528870456,-0.8236855985788402,-0.0786981562039622,0.05226552377932681,0.06137590419234999,-0.053158394977221975,-0.8310830716042966
0.0565191160137746,-0.0477049661759006,0.0043460897425822,0.1299579358749656,-0.831534568651876,-0.0784416158612093,0.05260710335317799,0.06439827495741997,-0.05198718062763532,-0.8391612873235107
0.0566944475152107,-0.046480902974549,0.0047002936674344,0.1333929355003949,-0.8391995288307398,-0.0781630513220248,0.05289195840290371,0.06745803818345894,-0.05076588871171194,-0.8470530901399198
0.0568082695574728,-0.0452136412859727,0.0050371130045607,0.1368244417897405,-0.8466731780569858,-0.0778632081604545,0.05311922839989808,0.07055179322428591,-0.04949545860632638,-0.8547507489233502
0.0568581674437845,-0.0439023312195745,0.0053484012028593,0.140248680682979,-0.8539482164562168,-0.0775434078769312,0.05328638386751809,0.07367552216619384,-0.04817496430618469,-0.8622465808894858
0.0568378082088121,-0.0425427414965399,0.0056280478633501,0.1436616425508802,-0.8610169316372749,-0.0772054109849771,0.053387228658631034,0.07682454870101574,-0.04679984094176145,-0.8695325254545513
0.0567460884741063,-0.0411356935414682,0.0058752948330027,0.1470591259366014,-0.8678713348367352,-0.0768511895008708,0.05342038070263611,0.07999375568515145,-0.04537099035544751,-0.8766002734450394
0.0565687046244585,-0.0396714936854145,0.0060995182483588,0.1504365007609679,-0.8745027127572472,-0.0764824500680344,0.05337211829692239,0.08317779917110976,-0.04387781606484577,-0.8834407671745965
0.0562969232870086,-0.0381455261711157,0.0063055315563663,0.1537884795504482,-0.8809011813421542,-0.0761004623912145,0.05323389523014512,0.08637107736298295,-0.04231521165113719,-0.8900437206832029
0.0559204150766408,-0.0365520691475695,0.0064906336606882,0.1571092399832743,-0.8870560065366798,-0.0757064311297194,0.05299565460096907,0.08956750939526759,-0.04067686289191048,-0.8963979770624502
0.0554176481196105,-0.0348773724288096,0.0066486795166451,0.1603920453695312,-0.8929548580008784,-0.0753018333413488,0.05263675442499275,0.09275991046443953,-0.038947643243845496,-0.9024907676291319
0.0547774709854012,-0.0331166287112021,0.0067722233070364,0.1636292286839101,-0.8985838806200044,-0.0748885645861931,0.05214619930528281,0.09593982827638387,-0.03712218100766452,-0.9083078026418664
0.0539618387260508,-0.031246003589827,0.006823839585868,0.1668117132685455,-0.9039268670395012,-0.074469902141454,0.05148754129277331,0.0990962342179504,-0.03517422167805226,-0.9138325147439528
0.0529752922110737,-0.0292711449699648,0.0068103856104347,0.1699294814638888,-0.9089661268498836,-0.0740500645680497,0.050664566081710084,0.10221629421700243,-0.0331101684751584,-0.9190469398390966
0.0518639077391028,-0.0272181295344732,0.0067663443915762,0.1729740331517714,-0.9136866273031335,-0.0736319974394274,0.0497210619418354,0.10528954484042613,-0.030959772297316685,-0.9239358098940972
0.0506211776663276,-0.0250867604227333,0.0066915996107113,0.1759380558251231,-0.9180754950812176,-0.07321758807831,0.048650401467896245,0.1083074495896325,-0.028722597616616108,-0.92848603140787
0.0492405859214415,-0.0228781172657029,0.0065858546603132,0.178813903967318,-0.922119899734972,-0.0728087365226202,0.04744587313277901,0.11126107450355788,-0.02639948246042629,-0.9326845635259446
0.0477180476869421,-0.0205957181782818,0.0064487949997494,0.1815936761174701,-0.9258073476086384,-0.0724073616293157,0.046103034750587836,0.11414114497239956,-0.023993871490832368,-0.9365187169066022
0.0460481550907028,-0.018241435467712,0.0062799712787677,0.1842692453049235,-0.9291257464141184,-0.0720154057777833,0.044616269607463364,0.11693807500188588,-0.021507464785377677,-0.939976219927766
0.0442251494845634,-0.0158170443714483,0.0060789543327757,0.1868322048202597,-0.9320632648359098,-0.0716348383994447,0.042979643601155755,0.11964192842745523,-0.018941831365999796,-0.9430450738839233
0.0422555469122747,-0.0133343028097587,0.0058453540839589,0.1892742230453588,-0.934609132662511,-0.0712676541525861,0.041198782463472416,0.12224272642080154,-0.016309359270224685,-0.9457143745353584
0.0401368769544248,-0.0107975004074204,0.0055788171297368,0.1915871377110854,-0.9367538435719598,-0.0709158705894238,0.039270921349581545,0.1247305402393791,-0.013614317575914726,-0.9479745181779723
0.0378673441851248,-0.0082112564274312,0.005279151425689,0.1937627018304272,-0.9384885753147932,-0.0705815220580789,0.037193978601565834,0.1270952960875102,-0.01086132789017983,-0.9498166014181083
0.0354681813641419,-0.0055948810530287,0.0049462335468252,0.1957932734972621,-0.9398064232703875,-0.070266652620896,0.034987846908295116,0.12932739427315096,-0.008071254673153758,-0.9512336959220744
0.0329377901988155,-0.002952107382291,0.0045800105410513,0.1976718136368603,-0.940702329400942,-0.0699733117713848,0.032650786828287245,0.1314177291324365,-0.005247769113776569,-0.9522207721513523
0.0303034893688224,-0.0003028015062714,0.0041805471047277,0.1993920475186796,-0.941173141575298,-0.0697035486414147,0.0302088138824921,0.13335786431449215,-0.002412616938406283,-0.9527747640769485
0.0275989751978953,0.0023313584769216,0.0037479506190143,0.2009494765824245,-0.9412191091006256,-0.0694594070640862,0.027694229422609063,0.13514095554192773,0.0004102694356743115,-0.9528961252991537
