AOA	CL	CD	CM
3.74123           0.268272          0.0167156         -0.0404851     
3.59593           0.254272          0.0146185         -0.036241      
3.44514           0.240049          0.0125625         -0.0320181     
3.28892           0.225528          0.0105542         -0.0278177     
3.12739           0.210614          0.00860157        -0.0236445     
2.96065           0.195593          0.00671148        -0.0195012     
2.78881           0.180097          0.00489089        -0.0153907     
2.612             0.16453           0.00314702        -0.0113174     
2.43031           0.148585          0.00148584        -0.00728247    
2.24389           0.132439          -8.56033e-05      -0.00329111    
2.05284           0.116128          -0.00156179       0.000655597    
1.85731           0.0994366         -0.0029353        0.00455555     
1.65741           0.0827005         -0.00419803       0.00840947     
1.45327           0.0655663         -0.00534831       0.0122104      
1.24504           0.0484036         -0.00638088       0.0159543      
1.03285           0.0309724         -0.00729146       0.0196398      
0.816861          0.0134079         -0.00807539       0.0232624      
0.597164          -0.0042546        -0.00872943       0.0268229      
0.373937          -0.0222706        -0.00924963       0.0303167      
0.147342          -0.0401141        -0.0096327        0.0337406      
-0.0824999        -0.05833          -0.00987615       0.037094       
-0.315414         -0.0765104        -0.00997329       0.0403786      
-0.551289         -0.0949303        -0.00991817       0.0435996      
-0.789931         -0.113453         -0.00971649       0.0467426      
-1.03121          -0.13193          -0.00936721       0.0498071      
-1.27495          -0.15066          -0.00886946       0.0527898      
-1.521            -0.169199         -0.00822288       0.055689       
-1.76923          -0.188024         -0.00742758       0.0585045      
-2.01942          -0.206718         -0.00648392       0.061232       
-2.27146          -0.225494         -0.00538313       0.0638866      
-2.52515          -0.24447          -0.00410851       0.0664903      
-2.78035          -0.263245         -0.00268789       0.0690033      
-3.03689          -0.28225          -0.00112338       0.0714239      
-3.29459          -0.300981         0.000582467       0.0737496      
-3.55332          -0.319859         0.00242689        0.0759809      
-3.81287          -0.338592         0.00440642        0.0781143      
-4.07311          -0.357242         0.00651807        0.0801513      
-4.33385          -0.37598          0.00877017        0.0821077      
-4.59494          -0.39443          0.0111458         0.083964       
-4.85622          -0.413008         0.0136404         0.0857197      
-5.1175           -0.431283         0.0162486         0.0873721      
-5.37863          -0.449544         0.0189654         0.0889222      
-5.63944          -0.467651         0.0217847         0.0903673      
-5.89977          -0.485638         0.0247344         0.0917585      
-6.15946          -0.503902         0.0278896         0.0932145      
-6.41835          -0.521834         0.0311311         0.0945657      
-6.67628          -0.539785         0.0344523         0.0958111      
-6.93303          -0.557354         0.0378448         0.0969469      
-7.18852          -0.574755         0.0413025         0.0979765      
-7.44256          -0.592107         0.0448176         0.0988986      
